artist,song,lyrics,emotion
Billie Eilish,You should see me in a crown (IIZI Remix),bite my tongue bide my time wearing a warning sign wait 'til the world is mine visions i vandalize cold in my kingdom size fell for these ocean eyes   you should see me in a crown i'm gonna run this nothing town watch me make 'em bow one by one by one one by one by you should see me in a crown your silence is my favorite sound watch me make 'em bow one by one by one one by one by one  refrain you say come over baby i think you're pretty i'm okay i'm not your baby if you think i'm pretty you should see me in a crown  drop you should see me in a crown you should see me in a crown   count my cards watch them fall blood on a marble wall i like the way they all scream tell me which one is worse living or dying first sleeping inside a hearse i don't dream  refrain you say come over baby i think you're pretty i'm okay i'm not your baby if you think i'm pretty you should see me in a crown  drop you should see me in a crown you should see me in a crown,anger
Ariana Grande,​reMeMber,lyrics from snippet   close to the light yeah didnt get to say goodbye to you but i feel like i never,sadness
BTS (방탄소년단),Euphoria,방탄소년단의 euphoria 가사   jungkook 너는 내 삶에 다시 뜬 햇빛 어린 시절 내 꿈들의 재림 모르겠어 이 감정이 뭔지 혹시 여기도 꿈속인 건지 꿈은 사막의 푸른 신기루 내 안 깊은 곳의 a priori 숨이 막힐 듯이 행복해져 주변이 점점 더 투명해져  pre jungkook 저기 멀리서 바다가 들려 꿈을 건너서 수풀 너머로 선명해지는 그 곳으로 가 take my hands now you are the cause of my euphoria   jungkook euphoria take my hands now you are the cause of my euphoria oh yeah yeah yeah yeah yeah yeah oh oh yeah yeah yeah yeah yeah yeah euphoria oh yeah yeah yeah yeah yeah yeah close the door now when i'm with you i'm in utopia   jungkook 무지개처럼 지워진 꿈을 찾아 헤맸을까 운명 같은 흔한 말관 달라 아픈 너의 눈빛이 나와 같은 곳을 보는 걸 won't you please stay in dreams yeah  pre jungkook 저기 멀리서 바다가 들려 꿈을 건너서 수풀 너머로 선명해지는 그곳으로 가 take my hands now you are the cause of my euphoria   jungkook oh yeah yeah yeah yeah yeah yeah euphoria take my hands now you are the cause of my euphoria   jungkook 모래 바닥이 갈라진대도 그 누가 이 세겔 흔들어도 잡은 손 절대 놓지 말아 줘 제발 꿈에서 깨어나지 마  pre jungkook 저기 멀리서 바다가 들려 꿈을 건너서 수풀 너머로 제발 꿈에서 깨어나지 마 선명해지는 그곳으로 가 take my hands now you are the cause of my euphoria   jungkook yeah yeah yeah yeah euphoria euphoria oh take my hands now you are the cause of my euphoria oh yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah oh yeah yeah yeah yeah yeah yeah oh euphoria oh yeah yeah yeah yeah yeah yeah close the door now when i'm with you i'm in utopia,joy
Ariana Grande,ABC,abuhbuhbuhbuhbuh abuhbuhbuhbuhbuh   you went to school to learn boy things you never never knew before mmmhmm like i before e except after c and why two plus two makes four now now now i'm gonna teach you all about love boy sit yourself down take a seat all you gotta do is repeat after me   a b c easy as    or simple as doremi a b c    baby you and me boy a b c easy as    or simple as doremi a b c    baby you and me boy   reading writing arithmetic are the branches of the learning tree but without the roots of love every day boy your education ain't complete teteteteacher's gonna show you how to get an a how to get an a spell me and you and add the two listen to me baby that's all you gotta do   a b c easy as    or simple as doremi a b c    baby you and me boy a b c easy as    or simple as doremi a b c    that's how easy love can be that's how easy love can be sing a simple melody    baby you and me  interlude c'mon c'mon c'mon c'mon boy   shake it shake it baby shake it shake it baby shake it shake it baby    baby a b c baby doremi baby that's how easy love can be   a b c easy as    or simple as doremi a b c    baby you and me boy   lemme teach how to sing it out c'mon c'mon c'mon lemme show you what it's all about   a b c easy as    or simple as doremi a b c    baby you and me boy a b c easy as    or simple as doremi a b c    baby you and me boy   a b c    a b c    baby you and me,joy
Billie Eilish,​bellyache (Live at Third Man Records),uhuhuh dadadadada   sittin' all alone mouth full of gum in the driveway my friends aren't far in the back of my car lay their bodies  pre where's my mind where's my mind   they'll be here pretty soon lookin' through my room for the money i'm bitin' my nails i'm too young to go to jail it's kinda funny  pre where's my mind where's my mind where's my mind where's my mind   maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bеllyache   everything i do the way i wеar my noose like a necklace i wanna make 'em scared like i could be anywhere like i'm reckless oh  pre but i lost my mind i don't mind sing it where's my mind where's my mind   maybe it's in the gutter where i left my lover what an expensive fake mm my v is for vendetta i thought that i'd feel better but now i got a bellyache a bellyache maybe it's in the gutter where i left my lover what an expensive fake uh my v is for vendetta i thought that i'd feel better but now i got a bellyache,surprise
BTS (방탄소년단),FOR YOU,english translation  it smells like you the road that i walk on i plug my earphone to my status my true feelings lie beyond there  baby why you far away i cant get used to you not being here i feel like something is missing i just want to be together with you always  when i realize we were only be able to meet inside this smartphone you appeared before my eyes today too i feel the sadness of not able to see you contrary to my feelings time passes rapidly even if i feel insecure i believe that my heart will not leave you my heart will reach past beyond the wind i am always under the same sky my baby  everything is for you everything is alright even if there is no answer everything is inside your smile  truth even if we are apart our hearts are connected to each other forever with you  flutter already flower petals shower sparkle already inside the sun i am embracing you always inside my heart forever  flutter already flower petals shower sparkle already under the sun forever just the two of us it is alright since we are connected always  we live far away from each other today too i feel lonely i want to see you the night that i am alone i unnecessarily feel the lonelier with distance my heart opens more it feels unbearable when i hear your rumor i become more frustrated with more time passes the amount that over flows always oh girl your smile still remains here even if we are apart my feelings are still the same we are always together everything is for you everything is alright even if there is no answer everything is inside your smile  truth even if we are apart our hearts are connected to each other forever with you  flutter already flower petals shower sparkle already inside the sun i am embracing you always inside my heart forever  flutter already flower petals shower sparkle already under the sun forever just the two of us it is alright since we are connected always  even if we are far away we are looking at the same sky even if something happens if you are here i am not afraid anymore i believe our love will lit for eternity it will always stay beautiful as it is it will always be like cherry blossom pedals  everything is for you everything is alright even if there is no answer everything is inside your smile  truth even if we are apart our hearts are connected to each other forever with you  flutter already flower petals shower sparkle already inside the sun i am embracing you always inside my heart forever  flutter already flower petals shower sparkle already under the sun forever just the two of us it is alright since we are connected always japanese original  君の香りがする この道を辿って行く イヤホン差し込むこの鼓動に 確かな想いがその先にある  baby why you far away 慣れない君がいないと　なんかね 何か足りない気がする ずっと一緒に人いたいだけなのに  気付けば君はこのスマホの中だけで しか会えない目の前に現れて 一緒にいれない寂しさ　今日も噛み締め 想いと裏腹　時間だけ過ぎてく 不安な気持ちになっても 距離の様　心離れないでと 信じて届ける風の先には いつも俺がいる　同じ空の下 my baby  すべて for you 答えなんて なくていい全ては 君の笑顔の中にある  truth 離れていても 心と心は繋がっている forever　君と  ヒラヒラ舞う 花びらのシャワー キラキラ舞う 太陽の中 僕は抱きしめている 胸の中で君をずっと  ヒラヒラ舞う 花びらのシャワー キラキラ舞う 太陽の下でずっと二人は どんな時も繋がっているからね大丈夫  遠い場所　過ごす人 今日は何かもうすっかり 寂しくて会いたい 独りの夜　よけい感じるその大きさに 距離と心　比例するなんて 噂が気になりたまらくなって 心配になるもっと　時は過ぎどんどん 溢れるため息の数も相当 oh girl 君のその笑顔が残ってるのさ 離れていても気持ちならいつも 同じ人はいつまでも一緒  すべて for you 答えなんて なくていい全ては 君の笑顔の中にある  truth 離れていても 心と心は繋がっている forever　君と  ヒラヒラ舞う 花びらのシャワー キラキラ舞う 太陽の中 僕は抱きしめている 胸の中で君をずっと  ヒラヒラ舞う 花びらのシャワー キラキラ舞う 太陽の下でずっと二人は どんな時も繋がっているからね大丈夫  例え遠くにいても 人同じ空見てるよ 例え何があっても 君がいれば何も怖くはないよもう  信じ合ってるから 互いの愛が輝き合う様に 奇麗な人のままさ 桜の花びらの様に  すべて for you 答えなんて なくていい全ては 君の笑顔の中にある  truth 離れていても 心と心は繋がっている forever　君と  ヒラヒラ舞う 花びらのシャワー キラキラ舞う 太陽の中 僕は抱きしめている 胸の中で君をずっと  ヒラヒラ舞う 花びらのシャワー キラキラ舞う 太陽の下でずっと二人は どんな時も繋がっているからね大丈夫 romaji  kimi no kaori ga suru kono michi o tadotte iku iya hon sashikomu kono kodō ni tashika na omoi ga sono saki ni aru  baby why you far away nare nai kimi ga i nai to nan ka ne nani ka tari nai ki ga suru zutto issho ni  nin itai dake na noni  kizuke ba kimi wa kono sumaho no naka dake de shika ae nai me no mae ni araware te issho ni ire nai sabishi sa kyō mo kamishime omoi to urahara jikan dake sugi te ku fuan na kimochi ni natte mo kyori no yō kokoro hanare nai de to shinji te todokeru kaze no saki ni wa itsumo ore ga iru onaji sora no shimo my baby  subete for you kotae nante naku te ii subete wa kimi no egao no naka ni aru  truth hanare te i te mo kokoro to kokoro wa tsunagatte iru forever kimi to  hirahira mau hanabira no shawā kirakira mau taiyō no naka boku wa dakishime te iru mune no naka de kimi o zutto  hirahira mau hanabira no shawā kirakira mau taiyō no shita de zutto ni nin wa donna toki mo tsunagatte iru kara ne daijōbu  tōi basho sugosu  nin kyō wa nani ka mō sukkari sabishiku te ai tai hitori no yoru yokei kanjiru sono ōki sa ni kyori to kokoro hirei suru nante uwasa ga ki ni nari tama raku natte shinpai ni naru motto toki wa sugi dondon afureru tameiki no kazu mo sōtō oh girl  kun no sono egao ga nokotteru no sa hanare te i te mo kimochi nara itsumo onaji  nin wa itsu made mo issho  subete for you kotae nante naku te ii subete wa kimi no egao no naka ni aru  truth hanare te i te mo kokoro to kokoro wa tsunagatte iru forever kimi to  hirahira mau hanabira no shawā kirakira mau taiyō no naka boku wa dakishime te iru mune no naka de kimi o zutto  hirahira mau hanabira no shawā kirakira mau taiyō no shita de zutto ni nin wa donna toki mo tsunagatte iru kara ne daijōbu  tatoe tōku ni i te mo  nin onaji sora miteru yo tatoe nani ga atte mo kimi ga ire ba nani mo kowaku wa nai yo mō  shinjiatteru kara tagai no ai ga kagayakiau yō ni kirei na  nin no mama sa sakura no hanabira no yō ni  subete for you kotae nante naku te ii subete wa kimi no egao no naka ni aru  truth hanare te i te mo kokoro to kokoro wa tsunagatte iru forever kimi to  hirahira mau hanabira no shawā kirakira mau taiyō no naka boku wa dakishime te iru mune no naka de kimi o zutto  hirahira mau hanabira no shawā kirakira mau taiyō no shita de zutto ni nin wa donna toki mo tsunagatte iru kara ne daijōbu,sadness
Beyoncé,Lift Every Voice and Sing (Blue’s Version) [Homecoming Live],verse blue ivy carter  beyoncé let our rejoicing rise high as the listening high as the listening skies let us march on let us march on 'til victory 'til victory is won  interlude beyoncé  blue ivy carter yay beautiful job baba you sound so pretty i wanna do that again oh you wanna do it again you're like mommy huh i wanna do that again oh okay 'cause it feels good it feels good hahahahaha okay you wanna do go lift every voice and sing   beyoncé i feel we made something that made my daughter proud made my mother proud my father proud and all of the people that are my brothers and sisters around the world and that's why i live i'm so lucky and grateful that i'm able to take all these crazy ideas and actually make it into somethin' that heals people and that may spark vision in people that shows them to dream big and shows them that they are limitless it's possible if my country ass can do it they can do it,joy
Beyoncé,Rather Die Young,boy you'll be the death of me you're my james dean you make me feel like i'm seventeen you drive too fast you smoke too much but that don't mean a thing 'cause i'm addicted to the rush   'cause i'd rather die young than live my life without you i'd rather not live at all than live my life without you 'cause i'd rather die young than live my life without you i'd rather not live at all than live my life without you   you know i've been in love before you're the first one i've ever seen that burns like gasoline so light a match turn off the lights i'm holding on to you cause this might be our last night   'cause i'd rather die young than live my life without you i'd rather not live at all than live my life without you 'cause i'd rather die young than live my life without you i'd rather not live at all than live my life without you   what i'm telling you i'm giving you my life it's in your hands and what i'm gonna do is be a woman and you can be a man and i wanna say nobody understands what we've been through i'd rather give up everything than to live my live my life without you   'cause i'd rather die young than live my life without you i'd rather not live at all than live my life without you 'cause i'd rather die young than live my life without you i'd rather not live at all than live my life without you,sadness
BTS (방탄소년단),Blue & Grey,방탄소년단 blue  grey 가사   v jung kook where is my angel 하루의 끝을 드리운 someone come and save me please 지친 하루의 한숨뿐 사람들은 다 행복한가 봐 can you look at me 'cause i am blue and grey 거울에 비친 눈물의 의미는 웃음에 감춰진 나의 색깔 blue and grey   suga 어디서부터 잘못됐는지 잘 모르겠어 나 어려서부터 머릿속엔 파란색 물음표 어쩜 그래서 치열하게 살았는지 모르지 but 뒤를 돌아보니 여기 우두커니 서니 나를 집어삼켜버리는 저 서슬 퍼런 그림자 여전히도 파란색 물음표는 과연 불안인지 우울인지 어쩜 정말 후회의 동물인지 아니면은 외로움이 낳은 나일지 여전히 모르겠어 서슬 퍼런 블루 잠식되지 않길 바래 찾을 거야 출구   jin jung kook jimin v i just wanna be happier 차가운 날 녹여줘 수없이 내민 나의 손 색깔 없는 메아리 oh this ground feels so heavier i am singing by myself i just wanna be happier 이것도 큰 욕심일까  post jung kook  jin jimin  v 추운 겨울 거리를 걸을 때 느낀 빨라진 심장의 호흡 소릴 지금도 느끼곤 해 괜찮다고 하지 마 괜찮지 않으니까 제발 혼자 두지 말아 줘 너무 아파   jhope rm 늘 걷는 길과 늘 받는 빛 but 오늘은 왠지 낯선 scene 무뎌진 걸까 무너진 걸까 근데 무겁긴 하다 이 쇳덩인 다가오는 회색 코뿔소 초점 없이 난 덩그러니 서있어 나답지 않아 이 순간 그냥 무섭지가 않아 난 확신이란 신 따위 안 믿어 색채 같은 말은 간지러워 넓은 회색지대가 편해 여기 수억 가지 표정의 grey 비가 오면 내 세상 이 도시 위로 춤춘다 맑은 날엔 안개를 젖은 날엔 함께 늘 여기 모든 먼지들 위해 축배를   jung kook jimin v jin i just wanna be happier 내 손의 온길 느껴줘 따뜻하지가 않아서 네가 더욱 필요해 oh this ground feels so heavier i am singing by myself 먼 훗날 내가 웃게 되면 말할게 그랬었다고   v 허공에 떠도는 말을 몰래 주워 담고 나니 이제 새벽잠이 드네 good night,joy
Ariana Grande,Sweetener World Tour Costumes,raindrops an angel criedgod is a womanbad ideabreak up with your girlfriend i'm bored for selected dates from april 4 09 rembe alrightsweetenersuccessful side to sidebloodline 7 rings love me harderbreathinneedyfake smilemake upright thereyou'll never knowbreak your heart right backnasagoodnight n go or get well soon,sadness
BTS (방탄소년단),둘! 셋! (그래도 좋은 날이 더 많기를) [2! 3! (Still Wishing For More Good Days)],방탄소년단의 둘 셋 그래도 좋은 날이 더 많기를 가사   rm been trying to tell you this i was supposed to tell you this this is all for you   rm 꽃길만 걷자 그런 말은 난 못해 좋은 것만 보자 그런 말도 난 못해 이제 좋은 일만 있을 거란 말 더는 아프지도 않을 거란 말 그런 말 난 못해 그런 거짓말 못해   suga 너넨 아이돌이니까 안 들어도 구리겠네 너네 가사 맘에 안 들어 안 봐도 비디오네 너넨 힘 없으니 구린 짓 분명히 했을텐데 너네 하는 짓들 보니 조금 있음 망하겠네 thank you so much 니들의 자격지심 덕분에 고딩 때도 못한 증명 해냈으니 박수 짝짝 그래 계속 쭉 해라 쭉 우린 우리끼리 행복할게 good yeah i'm good  pre jungkook  jimin 괜찮아 자 하나 둘 셋 하면 잊어 슬픈 기억 모두 지워 내 손을 잡고 웃어 괜찮아 자 하나 둘 셋 하면 잊어 슬픈 기억 모두 지워 서로 손을 잡고 웃어   v rm jin suga 그래도 좋은 날이 앞으로 많기를 내 말을 믿는다면 하나 둘 셋 믿는다면 하나 둘 셋 그래도 좋은 날이 훨씬 더 많기를 내 말을 믿는다면 하나 둘 셋 믿는다면 하나 둘 셋  4 jungkook 하나 둘 셋 하면 모든 것이 바뀌길 더 좋은 날을 위해 우리가 함께이기에  5 jhope 무대 뒤 그림자 속의 나 어둠 속의 나 아픔까지 다 보여주긴 싫었지만 나 아직 너무 서툴렀기에 웃게만 해주고 싶었는데 잘 하고 싶었는데 so thanks 이런 날 믿어줘서 이 눈물과 상처들을 감당해줘서 so thanks 나의 빛이 돼줘서 화양연화의 그 꽃이 돼줘서  pre v jin 괜찮아 자 하나 둘 셋 하면 잊어 슬픈 기억 모두 지워 내 손을 잡고 웃어 괜찮아 자 하나 둘 셋 하면 잊어 슬픈 기억 모두 지워 서로 손을 잡고 웃어   jungkook jimin 그래도 좋은 날이 앞으로 많기를 내 말을 믿는다면 하나 둘 셋 믿는다면 하나 둘 셋 그래도 좋은 날이 훨씬 더 많기를 내 말을 믿는다면 하나 둘 셋   jhope suga rm 믿는다면 하나 둘 셋 믿는다면 하나 둘 셋 믿는다면 하나 둘 셋 믿는다면 하나 둘 셋 믿는다면 둘 셋 say   all 괜찮아 자 하나 둘 셋 하면 잊어 슬픈 기억 모두 지워 내 손을 잡고 웃어 괜찮아 자 하나 둘 셋 하면 잊어 슬픈 기억 모두 지워 서로 손을 잡고 웃어 그래도 좋은 날이 앞으로 많기를 내 말을 믿는다면 하나 둘 셋 믿는다면 하나 둘 셋 그래도 좋은 날이 훨씬 더 많기를 내 말을 믿는다면 하나 둘 셋 믿는다면 하나 둘 셋 괜찮아 자 하나 둘 셋 하면 잊어 슬픈 기억 모두 지워 내 손을 잡고 웃어 괜찮아 자 하나 둘 셋 하면 잊어 슬픈 기억 모두 지워 서로 손을 잡고 웃어,anger
Ariana Grande,​love me harder (live),tell me something i need to know then take my breath and never let it go if you just let me invade your space i'll take the pleasure take it with the pain and if in the moment i bite my lip baby in that moment youll know this is something bigger than us and beyond bliss give me a reason to believe it   'cause if you want to keep me you gotta gotta gotta gotta got to love me harder come on and if you really need me you gotta gotta gotta gotta got to love me love me baby lolove me harder let's go oohoohoohooh love me love me love me baby oohoohoohooh harder harder harder baby yeah oohoohoohooh love me love me love me,anger
